,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation 
59,60,338565.902300179,2742.10669985041,False,50,tell,kuwaambia,False,0.4230468749999999,-0.9268617751909268,0.42304687499999993,-0.9268617751909269
60,61,342519.7103000246,inf,False,14,moja,one,True,0.541015625,-0.8773802616093713,0.42656249999999984,-0.8479710056096174
61,62,352122.31200002134,inf,False,52,set,kuweka,False,0.4355468749999999,-0.8921206944731336,0.3,-1.5741238640809685
62,63,357937.6082001254,2147.8101001121104,False,43,time,wakati,False,0.428125,-0.8407935483698008,0.428125,-0.8407935483698008
63,64,361838.055100292,3807.8326997347176,True,53,three,tatu,False,0.422265625,-0.8164467354928365,0.3,10.706862080669506
64,65,367746.576000005,1274.8890998773277,True,14,one,moja,False,0.540625,-0.8119615653137043,0.42656249999999984,-0.6098097929393071
65,66,370974.28769990796,inf,True,26,you,ninyi,False,0.440234375,-0.8600824297054216,0.3085937499999999,-0.5137140640226843
66,67,381346.5865002945,4614.286599680781,False,20,neno,word,True,0.485546875,-0.9024941773784236,0.35,-0.8419037400685613
67,68,387574.2425001226,inf,False,15,na,have,True,0.484375,-0.8865453633069527,0.259375,-0.28308302667203855
68,69,399112.33820021147,inf,False,52,set,kuweka,False,0.4359374999999999,-0.8940366547185588,0.300390625,-0.7940691263112688
69,70,404608.0742999911,2622.5906000472605,False,50,tell,kuwaambia,False,0.4289062499999999,-0.9322634660873246,0.42890624999999993,-0.9322634660873245
70,71,408491.64280015975,5353.068599943072,False,22,nini,what,True,0.4730468750000001,-0.9360127424506588,0.35,-0.8744247629246611
71,72,415100.0383999199,inf,True,14,moja,one,True,0.5902343750000001,-0.9070437906626632,0.46367187499999984,17.333200650334362
72,73,420426.94699997077,1413.8604002073407,False,20,word,neno,False,0.4929687500000001,-0.9330538165149692,0.35,-0.7034474325068387
73,74,423117.92610026896,2176.942499820143,False,53,three,tatu,False,0.42265625,-0.88368740010267,0.300390625,-0.8562187301106853
74,75,427680.48490025103,1599.4172999635339,True,14,one,moja,False,0.5898437500000001,-0.7621678010612394,0.46367187499999984,-0.5649649861020936
75,76,430961.3684001379,1052.4666998535397,True,15,have,na,False,0.483984375,-0.8661076997741058,0.25898437500000004,-0.374216414809707
76,77,433538.01840031525,4716.2458999082455,False,43,time,wakati,False,0.471484375,-0.8615374000014915,0.47148437499999996,17.587360890352738
77,78,442147.8198999539,3506.8063000217076,False,22,what,nini,False,0.4851562500000001,-0.8590237474189479,0.35,-0.686673350139935
78,79,448843.7401000409,3598.435800056905,True,14,moja,one,True,0.6058593750000002,-0.7615008752241479,0.4882812499999999,-0.8088813697677799
